GroupCode,UserId,ProbeBudget,AkonaHabitat,AkonaYN,EolaniH,EolaniYN,Jakala-TayH,Jakala-TayYN,KaylidH,KaylidYN,SylcariH,SylcariYN,WroftH,WroftYN,YNScore,SubmitYN
carolina_carner201705,9GQp0zPKMYfLBVOPjqq79JrLwF33,123098000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
newbridge_teacherc2017,9Gvimxwe90RJ5knv4ZiVbNUnY3n1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201706,9KSEHArCLLUc19HutoSEz8jtdGt1,150028000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
rebecca_crossley201704,9KfbHrxuZcWWwBMiXUtS3v8PaB73,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
elisa_klepper201704,9Ky7flDmKceqOOBbJbn7tYKGqXQ2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
elisa_klepper201701,9MfMDNyp2hbCoy24Pkoe12GNIEN2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
jennifer_squires201705,9QWnb2H1hAQRaj2CxWrVu4HLO652,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
karen_rainey201701,9Rtp2TymUXSdmhJirdRqMOetCdc2,158693000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LB201702,9SGXyqhX3MZYdYt2Fd1fUvYQiVY2,141271000,     ,0,     ,0,     ,0,     ,0,VENUS,0,     ,0,0,1
JF201701,9SaF4uYUsPdK6NdK6F9lECw73hA3,156776000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
carolina_carner201701,9SyEXSN9GNaGnKSMaBd0jqkE2hf2,154566000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
courtney_boyd201703,9YATtuTVasXV29ZaHb53cUTTnP33,152091000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
courtney_boyd201705,9ZL4fRh0VEYfsSWMKdE6CXIgtoU2,158975000,     ,0,MARS,0,     ,0,     ,0,     ,0,     ,0,0,1
ML201705,9fv6fMoZiThxMhPKqQlxr0nV0ST2,159500000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201704,9h4AI7ReVjMX8Srv227GqIm8aTr1,155986000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
karen_rainey201703,9hB7kqnZaPSMat470JU6TW3Pydv2,147429000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
rebecca_crossley201701,9hIjLSOuPkdKIFcgw8Ntav4LQuz2,150173000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
teachera2017,9j3d7FBBGkR3TPJTjhMrOpI42YC2,151919000,     ,0,     ,0,     ,0,     ,0,SATURN,0,     ,0,0,1
LJ201703,9jHxnl8vTlgQl3Uu5LGf3a9ITrv1,157705000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CL201705,9jbjfe3Q3cYsrmOiSqqfl7wfkc93,156773000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201701,9kKes2ZGckaxdcUJekplDUsbn2H2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
courtney_boyd201701,9npEU1IvUCabjWwspDcHIzDFdCW2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201703,9phdRbMgeecO5ctbahQ3nRhBNVo1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
tammy_wong201703,9ra5y4nfrqesyLk97tcOtSiNvk53,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201706,9tBvWi0Exke4YYyqAb55ANRNwzi2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
elisa_klepper201701,9v5VSEaicQaZh4KIlcljn9CSBP62,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
karen_rainey201701,9w4qM1a1lbWmd2pdwpREkeBFylB2,158739000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
AL201705,9wtwVLbRwMhvTYigpQxXiZuilhI2,158268000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
ML201702,9zwL9L5dzjUr1ci9JaQeZ2gFOLq1,159150000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201704,A5Dsz9D4spTLAhsA8ZUi88f9uZg2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LB201705,A7na2A7gMEgSPnBZ9pzkNufrelC2,151217000,     ,0,     ,0,TRITON,0,     ,0,     ,0,EARTH,0,0,1
courtney_boyd201704,A7xakGzkYyRutSN7bDAKM6LR9022,157840000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
megan_kritzer201702,AA3CrVOWz0eps29L1k0eXMANkRe2,153815000,     ,0,     ,0,     ,0,     ,0,EUROPA,0,     ,0,0,1
elisa_klepper201705,AAvHkDGGhFes2VwTggsy3dFn6Z43,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
courtney_boyd201702,ABcYd1vJKohiLNFEo4CazMcYnCF3,127303000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
jennifer_squires201705,ABryGvAhxHc3QT4s7xdwZWjEOxc2,155964000,     ,0,     ,0,     ,0,     ,0,GANYMEDE,0,     ,0,0,1
CL201704,ACAofjBfPlXbelwfCoAGrOMNP3g2,153739000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
JF201703,AEG0UGGU28e9l56oHsNSp6N5XZ82,156732000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LB201703,AFhhpOp1WdgYwKxFqIUWxCIsHvt2,120187000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
megan_kritzer201705,AGHYAkXBZDctK3ivOjyHz4S63Z82,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
teachera2017,AIP1MEF4PwSUh0WULr756svNSEa2,157638000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
jennifer_squires201702,AJ9TVr1MDKO6ggG0hg9AbFWEuIs1,158679000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CL201702,AJMTeTFjX1PRagS3ObPefy78ldP2,138460000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
ML201702,AJz23GLwoWNbZQ7LIp4Yo6hejT73,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CL201703,AKrtzDgTQrX8OApJZ3iyDxyltwl1,155388000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
courtney_boyd201704,AML5TDIk9ib4pxMbelcCaCEK5hf2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
carolina_carner201704,AO93ueRO5UYrHajTqH2XOJXckbu2,136861000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
christine2017,AQ0OQ7RAbfUmFtL17dnFALYHuy42,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201705,ATUiJ0HSGVfrMXwVhE0ZckFZxIr2,138708000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
jennifer_squires201701,AXTWlglji3S4xUX1JRJS83dWkdm2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
AL201702,Aaja0hBzfBSMlsqfzvOUZu3BnJN2,157430000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
micheal2017,AbbCZG9RWiWij1HEsk308d1jKQx2,149089000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
teachera2017,Af0yDZcBZog8he4E3UWoDC8wqZ93,149133000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
ML201701,AgNhOKcNgLd2niumbNCVNcn3UHQ2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201703,Al89pQqt6gSTJKK1DPbOH4rIMNb2,158538000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
karen_rainey201701,Alphitl8jXRNUSFtq1LXxS47aIJ2,158358000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
AL201704,ApFhTy1tHsOahp7QpfZ9y2oIN6h2,155496000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
karen_rainey201703,AsBZ3Kj8MXUVM3MKKZ8FbKPKMay1,141784000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
rebecca_crossley201702,AsnSIjuw6wWDPbsumACB8HEl8tg2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
jennifer_squires201703,AwRG1k5GjBbYanqkHQR9uQIf4352,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
newbridge_teacherc2017,AwYBnUNb0WgIuaSYeDhg1sEq6X23,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
christine2017,AxRHbahfOpYsIeU1e9XXQN3Xcn32,150055000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201702,AxpPQPl7mRMl2XhbwZFwinjceSf2,144271000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
megan_kritzer201704,AzYPrqHifbfOEMipJoQjKYvyGeu2,155642000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
carolina_carner201703,B0I14MIjmgdOxyNGFfeHK2Nmtmz1,157180000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201703,B2Zs4DgvfnTL990LChtp03ubupq1,155904000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
karen_rainey201705,B3NQmag0XjWQaNl6Lyf2SR6doRl2,159835000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
JF201701,B3YA4DEDOFMAP2MQJPdWnK7q3wo2,155162000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
tammy_wong201704,B4KEYbtANVhkcEZehJn49CMZL7x1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201705,B4RSAwQr11hK4oFBTfWNHWHkvBF3,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
AL201702,B6SmUK2aj3NZpjZcZ2ig89VPvZJ3,144583000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201701,B6xDVMcSoAbwvrvS8uDa6jJGopi1,138112000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
tammy_wong201701,B8afYmy0qaXNo6Uw4HyP46HDBVU2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
carolina_carner201703,B9Yu3t8sBIdBfmAyDNom6Unmajy1,135858000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201701,B9sYA9n8K0Ybnj1GWtfKwZ14CvL2,160000000,     ,0,MARS,0,     ,0,     ,0,     ,0,MARS,0,0,1
jennifer_squires201701,BAFdtilAHNQuNFZoqQAwqclv2Up1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
megan_kritzer201705,BASJQ2nYzSeD2ZuJ6SI88MRoz4l2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
carolina_carner201702,BBeb2NRweBRznilCJPt6Hdg8Lnz2,157443000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LB201705,BCAFFZm3H5UqTF3fXNQGrcmZOks1,145117000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
AL201705,BErEacuAmsVdfiCQJTKDZLpF8Rp1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
megan_kritzer201703,BGfbIPOCn5PhHr8dCEd16h3r92C3,160000000,PLUTO,0,MOON,0,     ,0,     ,0,EUROPA,0,     ,0,0,1
micheal2017,BGxjoriMFCN1YM1rgzuSTMEzfHs2,158795000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CM201704,BKJuJZCSxNasQ3IASGVqUGOVhS62,153818000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201702,BKjzan7KiyXzOgGhYDaoKDqLvm32,153210000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
tammy_wong201703,BLxtJf1bvmTjeICyLguIdkrCMzX2,157858000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
AL201703,BO7LRfMn08RO8sFu2xfU1wU7vR22,159380000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
micheal2017,BOQF85uyI1aLqiNnfNDvNbR96t93,152425000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
teachera2017,BPeTbg2HVUUXMzZvvelKHyUSKm33,158053000,GANYMEDE,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,1
newbridge_teachera2017,BTUAMdUZhTRbUiP6iE9skyShIfi1,158268000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
elisa_klepper201705,BaeG45QDbzXFB7aV75x65pU3oCo2,153700000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
christine2017,BbqyKCnTAFe7pcFKRUcBR3AJiHP2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
ken_carson201701,Bc3KzaxC3ySyxoI25Ee2SfjFkuE2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201705,Be006Ze3q4ZgraKJM2Zu4ho7t9I2,151586000,SUN,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,1
CL201705,BjBxfqBUrWV1OKe3TLg8Bnf9R922,152102000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
courtney_boyd201702,Bk0MaR9JpONmY5ROwMmeBlMXPu43,153028000,     ,0,     ,0,PHOBOS,0,PHOBOS,0,     ,0,     ,0,0,1
courtney_boyd201705,Bnwm7zmVoTXixPOaWipfcCmdOVU2,158694000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
newbridge_teacherb2017,BtSGmBuxyRXFhIbeuWrr2mXJmjf2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
michael_bedford201701,BvUka5fwMlY5R3sIS9AC6UWdV183,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201704,BxXxLGRBNrhDZcYMJRDxZq3cbfs1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CL201704,ByZKDbrKoSR4xhUsuqjAxWp72m92,156225000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201703,Bz5klYGX4PhUj0ylz4U6M3KGRaD3,159365000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
christine2017,BziexqQJm6Yp0TBUYknelTE7u6S2,159470000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201704,C02NTxUagpMWm2fsA3HUV4OTncG3,140095000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
JF201704,C0lb2mL9JoWVz6YVFuGCSSEwZEJ3,157548000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
AL201701,C1cGQSeKLbY358Zfjgc2GVW4nBj1,152749000,     ,0,EARTH,0,     ,0,CHARON,0,     ,0,     ,0,0,1
karen_rainey201702,C4RXEeARBnO5a6VpBqmC8zy1fpa2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
rebecca_crossley201705,C69gBmS8T4gPRqM57PLFKa9H9hi2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201705,C69xu7EENIRVUrKU0MwJbZ8ODGQ2,150991000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
christine2017,C6pOMaHwuFOZ6KRs4hDZbiAN1gJ2,159610000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LB201702,C79CDEoMuvaRg7YbNzL02iJqsL23,144797000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LB201703,C7pESsgHADXEgrcwXDrA2anF4YB2,139033000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201702,CBPG71ijDbf5e7wqitX9USc6Ydw1,145931000,     ,0,     ,0,     ,0,     ,0,MERCURY,0,     ,0,0,1
jennifer_squires201703,CDrbRPMiyhObaTQEyPaEk6D4QKl2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201703,CE35auc9x6TJ31ez61MZXhbbrVi1,149152000,     ,0,     ,0,SATURN,0,     ,0,     ,0,     ,0,0,1
carolina_carner201704,CFCGlPaOeVUhxXt7N7KQbpKF7MU2,138281000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201705,CGactCzjRzdzNHtFIFpZmxu3uF82,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
megan_kritzer201703,CJobYNJLjBcdkJS9BxbYjG0iN5A3,150826000,     ,0,MARS,0,     ,0,     ,0,VENUS,0,NEPTUNE,0,0,1
michael_bedford201701,CKP0s3S8HPWenus0SjsXSndPJpx2,158745000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
jennifer_squires201703,CMQiYbe2jvPDFnFjknEzgkSg94o1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
elisa_klepper201704,CNIDoXgU0zcoZjqzFe75wGwgKOt1,158679000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LB201704,CO15jizlaEfBtnZxsMJAp4uD6I43,159035000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
JF201701,CO1Hmeb9fgdbgMem3qoa5Km6Cf82,156492000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
tammy_wong201705,CQEHdvKogdfDjG3V6ruhruSJv6B3,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CL201702,CSUORysEtjQ8DXz499T7DLsst7E2,156653000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
karen_rainey201703,CSxaUBnWesYVIzoZjAheiQvUl3J3,153525000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201704,CTjbjWRPM0WvQDUMdu2pa2wLcTF2,152037000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
rebecca_crossley201705,CUfgkSiEUSardRCaJE0KjQhuJbC3,158708000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
rebecca_crossley201702,CZB88vn0R2SZmPknv3I7HaizaC22,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
micheal2017,CaQsve0gqwWI8ICwEcciLtvohat2,155745000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CL201705,CbgxseLL8HQS4H2Fmym9lyh1NSC2,158238000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
tammy_wong201702,CbpAKPbAORU99kml94XzhwId78t1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
AL201701,Ce18iAiecNNnxhKnD5rctqzNE4t1,160000000,     ,0,NEPTUNE,0,     ,0,     ,0,     ,0,     ,0,0,1
ML201703,CiU8p7T9AtPZEPBIsIlW4hYv6ut2,159350000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CM201702,CjJLvZGygNSPH73QnIonIZVdnz63,157035000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
carolina_carner201703,CjujiXtIsRSHl8jjZDAkKX5FLmM2,151708000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
ML201703,Cl7M4EfhUqcaiGUqfpe1mCYLaBv2,159500000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
carolina_carner201704,CmkfAJjfTCPFCWeUofaNAp0BH0V2,150803000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
AL201703,Cp1cuyJnk2UEiawoPFbpbhZZzdg1,158268000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
ML201703,CpXCqA13GKRhfZeGczeCZZSdtD72,159350000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
teachera2017,CrcBEqQwrsOQb7zjoHB88JHspCq1,132910000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
karen_rainey201703,Cyk4E22YxuYsdAnT342gBEBXfIp2,156392000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201706,CzU4Qocp4dV2lG3yJce0B3UE27E3,147512000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201706,D2ViR1hFPQXNDWQPhB2EpZb9rW53,152933000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
elisa_klepper201706,D2etLo6rlgfguMHGAJQCBiMeKjt1,158498000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
elisa_klepper201703,D2rN5aleeLQHoHxdngvX1RpQA8w2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201701,D5rIZcpXrfTftlYOnZJwQebbiwR2,151875000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201702,D7rza2KAqBboFzr3pnjezgPwgiC2,155481000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
JF201703,D9OvkGWhJEMVhEgaMrSNk5CNMJu1,147716000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201705,DBTDxqpwroVbncKVNBCY6GjcEkx2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
JF201703,DCnIOk4TpWSQSeAZ2ULx4IOXu5E3,157753000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
courtney_boyd201703,DDFnq8Up72MbWaNlHUOMhZ2piHs2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CL201704,DHextbeyKRauGWwJrYmUEHeA4A13,157126000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
michael_bedford201701,DNKVmfXYyUSsvNwZltR5xyw10NI2,155920000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
tammy_wong201702,DOyTPDQfN6b7dPZwdsEeWkrp3Ea2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
ML201701,DQ3ZDEVsFtNs11P2B9Mqc4jQk7D2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
michael_bedford201701,DSGY6gmkC1WbGLraX0pzdsfn8Zm2,152801000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
teachera2017,DUcRfUzV8YQbo4NgCVPwQDz0e9P2,153722000,     ,0,     ,0,     ,0,     ,0,     ,0,TRITON,0,0,1
EM201701,DahGDJsbH1PBRckhSU1wLrcyy3s2,141384000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
christine2017,DdJBx4iv0aZazMcQ2iadVSCA8Ec2,156248000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201705,DfHt3E02iOPqS7eh1aUwtuqGsb02,147575000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
karen_rainey201705,DkoXRZhXM7dRROdhRorvcrfJsDD3,154714000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
ML201703,Dlc68iZCWRchmstCV03JDGeJjPu1,157147000,PLUTO,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,1
jennifer_squires201702,DnsTiqNixuTPmna0SzsO44KZLUF2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CL201703,Dojn5wfDYPb8FHO6tRiTcK7NK4Z2,148524000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
christine2017,Dol6XmuYyLZU9R5AD5DFibn38M93,154674000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
megan_kritzer201703,Doq5NVcoNeMikYt98AqwxtdIyGJ3,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
rebecca_crossley201701,DpDFNIe9pda4BLO9kQpaMbdxMaU2,158006000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201703,DsmRC4OeY7b8MZJ6tf1Cr1ADkqy2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LJ201705,E1DPs1NxetdmaDVrw0jwieHHGeF3,141247000,     ,0,MARS,0,     ,0,     ,0,     ,0,IO,0,0,1
tammy_wong201705,E2dIabSI85dczlNssDqAOarVdNl2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
courtney_boyd201701,E3hZ860oXpPu930uizggbfibrpj2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201701,E5rVtnY8g3ZlEzjKCJFJ0uCIr4h2,149298000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
JF201705,E62Aq1VozxWTKzkeffpQulvL7vC2,140957000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CL201705,E6OLUc50jqQcFJr79IRHCuC43Mk2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
micheal2017,E872g4hwbiftvQKRFv6Uzetc1Lt2,148936000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
tammy_wong201703,EAz2u8FAU9ONa6NIh5TMyaJRvq02,152106000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
christine2017,EBZrAO9TQGY5LgpZMq4cldUEyh03,152770000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
EM201705,EBdl9CDV5URZ2kTYGjECk3wfewo2,142029000,PLUTO,0,     ,0,     ,0,     ,0,     ,0,JUPITER,0,0,1
LB201704,EDDYr2eXAdOpy1NQLfviXn06NAj2,151561000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
courtney_boyd201705,EDZ0p5YlLLT5oY5PDeL69VBY8IB2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
elisa_klepper201705,EEVdHAUnqtfkfy50EWBIAaNy6Hl1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
Eric201705,EEXfDHtd0kWsDxfupxvhwmJqavf2,125579000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
CM201705,EHL1e64P6qO2T41XYhyZTAe8cFv2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
LB201703,EHzsgAQqNIckIKcNOXycvlzDvlt1,152180000,     ,0,     ,0,PHOBOS,0,     ,0,     ,0,GANYMEDE,0,0,1
CM201703,EIMKZncA74Ml6DEaPG9ebUhkwBI2,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
elisa_klepper201702,EJQfAgs9K6brpsY0hyJhB4cWhbd2,160000000,     ,0,     ,0,     ,0,     ,0,PLUTO,0,     ,0,0,1
carolina_carner201705,EK4sBICaLbhzVY6o7DTudgkBNaf2,145806000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
carolina_carner201705,EQZiP1tS3dWl4Fm4yuSEIk1NEVF3,146557000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
megan_kritzer201701,ER6NkliJgwd9vsDizvmZunn8j2S2,158779000,     ,0,     ,0,     ,0,     ,0,     ,0,     ,0,0,0
